datetime,from,to,distance_m,duration_s
2024-01-31 06:10:01.523234,Krumpaul,Höhle,2174,184
2024-01-31 06:10:01.523234,Krumpaul,Krankenhaus,1539,147
2024-01-31 06:10:01.391372,Krankenhaus,Höhle,1902,176
2024-01-31 06:10:01.391372,Krankenhaus,Krumpaul,1560,145
2024-01-31 06:10:01.231854,Höhle,Krankenhaus,1905,183
2024-01-31 06:10:01.231854,Höhle,Krumpaul,2154,181
2024-01-31 06:00:01.693983,Krumpaul,Höhle,2174,184
2024-01-31 06:00:01.693983,Krumpaul,Krankenhaus,1539,147
2024-01-31 06:00:01.522948,Krankenhaus,Höhle,1902,176
2024-01-31 06:00:01.522948,Krankenhaus,Krumpaul,1560,145
2024-01-31 06:00:01.28929,Höhle,Krankenhaus,1905,183
2024-01-31 06:00:01.28929,Höhle,Krumpaul,2154,181
2024-01-31 05:50:01.801584,Krumpaul,Höhle,2174,184
2024-01-31 05:50:01.801584,Krumpaul,Krankenhaus,1539,147
2024-01-31 05:50:01.643566,Krankenhaus,Höhle,1902,176
2024-01-31 05:50:01.643566,Krankenhaus,Krumpaul,1560,145
2024-01-31 05:50:01.437872,Höhle,Krankenhaus,1905,183
2024-01-31 05:50:01.437872,Höhle,Krumpaul,2154,181
2024-01-31 05:40:01.118233,Krumpaul,Höhle,2174,184
2024-01-31 05:40:01.118233,Krumpaul,Krankenhaus,1539,147
2024-01-31 05:40:00.984006,Krankenhaus,Höhle,1902,176
2024-01-31 05:40:00.984006,Krankenhaus,Krumpaul,1560,145
2024-01-31 05:40:00.781273,Höhle,Krankenhaus,1905,183
2024-01-31 05:40:00.781273,Höhle,Krumpaul,2154,181
2024-01-31 05:30:01.872698,Krumpaul,Höhle,2174,184
2024-01-31 05:30:01.872698,Krumpaul,Krankenhaus,1539,147
2024-01-31 05:30:01.722004,Krankenhaus,Höhle,1902,176
2024-01-31 05:30:01.722004,Krankenhaus,Krumpaul,1560,145
2024-01-31 05:30:01.567696,Höhle,Krankenhaus,1905,183
2024-01-31 05:30:01.567696,Höhle,Krumpaul,2154,181
2024-01-31 05:20:02.153652,Krumpaul,Höhle,2174,184
2024-01-31 05:20:02.153652,Krumpaul,Krankenhaus,1539,147
2024-01-31 05:20:01.996661,Krankenhaus,Höhle,1902,176
2024-01-31 05:20:01.996661,Krankenhaus,Krumpaul,1560,145
2024-01-31 05:20:01.75999,Höhle,Krankenhaus,1905,183
2024-01-31 05:20:01.75999,Höhle,Krumpaul,2154,181
2024-01-31 05:10:01.879727,Krumpaul,Höhle,2174,184
2024-01-31 05:10:01.879727,Krumpaul,Krankenhaus,1539,147
