from,to,distance_m,duration_s,duration_in_traffic_s,datetime,from_to
Höhle,Krankenhaus,1905,183,191,2024-01-23T09:10:01.779856000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,175,2024-01-23T09:10:01.779856000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,186,2024-01-23T09:00:01.864891000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,151,2024-01-23T09:00:01.864891000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,182,2024-01-23T09:00:01.713225000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,152,2024-01-23T09:00:01.713225000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,192,2024-01-23T09:00:01.499233000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,188,2024-01-23T09:00:01.499233000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,185,2024-01-23T08:50:01.528064000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,154,2024-01-23T08:50:01.528064000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,184,2024-01-23T08:50:01.411745000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,155,2024-01-23T08:50:01.411745000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,193,2024-01-23T08:50:01.224306000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,186,2024-01-23T08:50:01.224306000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,190,2024-01-23T08:40:01.703118000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,150,2024-01-23T08:40:01.703118000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,193,2024-01-23T08:40:01.560631000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,155,2024-01-23T08:40:01.560631000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,200,2024-01-23T08:40:01.346577000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,198,2024-01-23T08:40:01.346577000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,205,2024-01-23T07:20:02.533908000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,163,2024-01-23T07:20:02.533908000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,255,2024-01-23T07:20:02.058255000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,223,2024-01-23T07:20:02.058255000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,233,2024-01-23T07:20:01.302609000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,229,2024-01-23T07:20:01.302609000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,197,2024-01-23T07:10:02.509832000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,150,2024-01-23T07:10:02.509832000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,200,2024-01-23T07:10:02.033326000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,164,2024-01-23T07:10:02.033326000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,205,2024-01-23T07:10:01.345220000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,206,2024-01-23T07:10:01.345220000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,193,2024-01-23T07:00:02.814525000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,151,2024-01-23T07:00:02.814525000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,185,2024-01-23T07:00:02.303014000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,150,2024-01-23T07:00:02.303014000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,188,2024-01-23T07:00:01.514482000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,188,2024-01-23T07:00:01.514482000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,187,2024-01-23T06:50:01.685992000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,147,149,2024-01-23T06:50:01.685992000,Krumpaul -> Krankenhaus
Krankenhaus,Höhle,1902,176,178,2024-01-23T06:50:01.545569000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,145,145,2024-01-23T06:50:01.545569000,Krankenhaus -> Krumpaul
Höhle,Krankenhaus,1905,183,190,2024-01-23T06:50:01.360756000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,181,188,2024-01-23T06:50:01.360756000,Höhle -> Krumpaul
Krumpaul,Höhle,2174,184,185,2024-01-23T06:40:01.429076000,Krumpaul -> Höhle
