from,to,distance_m,duration_s,duration_in_traffic_s,datetime,from_to
Höhle,Krankenhaus,1905,182,162,2023-12-23T20:40:03.309225000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,165,2023-12-23T20:40:03.309225000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,160,2023-12-23T20:40:03.309225000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,126,2023-12-23T20:40:03.309225000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,185,2023-12-23T20:40:03.309225000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,131,2023-12-23T20:40:03.309225000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,173,2023-12-25T09:46:14.094879000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,178,2023-12-25T09:46:14.094879000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,167,2023-12-25T09:46:14.094879000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,144,2023-12-25T09:46:14.094879000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,177,2023-12-25T09:46:14.094879000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,142,2023-12-25T09:46:14.094879000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,182,2023-12-23T12:21:03.736141000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,182,2023-12-23T12:21:03.736141000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,186,2023-12-23T12:21:03.736141000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,153,2023-12-23T12:21:03.736141000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,189,2023-12-23T12:21:03.736141000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,154,2023-12-23T12:21:03.736141000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,179,2023-12-23T16:39:17.367661000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,178,2023-12-23T16:39:17.367661000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,169,2023-12-23T16:39:17.367661000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,136,2023-12-23T16:39:17.367661000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,188,2023-12-23T16:39:17.367661000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,145,2023-12-23T16:39:17.367661000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,187,2023-12-23T16:50:01.992284000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,187,2023-12-23T16:50:01.992284000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,174,2023-12-23T16:50:01.992284000,Krankenhaus -> Höhle
Krankenhaus,Krumpaul,1560,143,142,2023-12-23T16:50:01.992284000,Krankenhaus -> Krumpaul
Krumpaul,Höhle,2174,182,188,2023-12-23T16:50:01.992284000,Krumpaul -> Höhle
Krumpaul,Krankenhaus,1539,145,150,2023-12-23T16:50:01.992284000,Krumpaul -> Krankenhaus
Höhle,Krankenhaus,1905,182,183,2023-12-20T18:30:02.434296000,Höhle -> Krankenhaus
Höhle,Krumpaul,2154,180,184,2023-12-20T18:30:02.434296000,Höhle -> Krumpaul
Krankenhaus,Höhle,1902,174,177,2023-12-20T18:30:02.434296000,Krankenhaus -> Höhle
